food_id,food_name,aliases,category,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,default_portion_g,source,notes
GL_EGG_005,Scrambled Eggs,"scrambled egg,scramble eggs,butter scrambled eggs",Eggs,149.0,10.0,1.6,11.0,0.0,120.0,USDA FoodData Central,"Eggs beaten with a touch of milk, gently cooked in butter"
GL_EGG_006,Fried Egg,"sunny side up,egg fry,half fry,fried eggs,bullseye egg",Eggs,196.0,13.6,0.8,15.3,0.0,46.0,USDA FoodData Central,Egg fried in oil or butter sunny-side up or over easy
GL_MET_001,Grilled Chicken Breast,"chicken breast,grilled chicken,roast chicken breast,baked chicken breast",Meat,165.0,31.0,0.0,3.6,0.0,150.0,USDA FoodData Central,"Skinless, boneless chicken breast cooked on grill"
GL_MET_002,Grilled Salmon,"salmon fillet,baked salmon,pan seared salmon,salmon fish",Seafood,206.0,22.1,0.0,12.3,0.0,150.0,USDA FoodData Central,Atlantic salmon fillet cooked without added fat
GL_FST_001,Margherita Pizza Slice,"cheese pizza,pizza slice,pizza,margherita pizza",Fast Food,266.0,11.4,33.3,9.8,2.3,107.0,USDA FoodData Central,"Classic crust pizza with tomato sauce, mozzarella cheese"
GL_FST_002,French Fries,"fries,finger chips,potato fries,hot chips",Fast Food,312.0,3.4,41.4,15.0,3.8,117.0,USDA FoodData Central,"Deep-fried potato strips, salted"
GL_FST_003,Cheeseburger,"burger,cheese burger,beef burger,hamburger with cheese",Fast Food,263.0,13.5,23.8,12.5,1.2,150.0,USDA FoodData Central,Ground patty on bun with slice of cheese and condiments
GL_FST_004,Pasta Marinara,"pasta with red sauce,spaghetti marinara,tomato pasta,penne arrabbiata",Grains,131.0,5.0,22.0,2.5,1.8,200.0,USDA FoodData Central,Boiled semolina pasta tossed in seasoned tomato and herb sauce
GL_FRU_001,Apple,"red apple,fresh apple,green apple,seb",Fruits,52.0,0.3,13.8,0.2,2.4,182.0,USDA FoodData Central,Raw apple with skin
GL_FRU_002,Banana,"ripe banana,yellow banana,kela",Fruits,89.0,1.1,22.8,0.3,2.6,118.0,USDA FoodData Central,"Raw ripe banana, peeled"
GL_VEG_001,Steamed Broccoli,"boiled broccoli,cooked broccoli,broccoli florets",Vegetables,42.0,2.4,7.2,0.4,3.3,150.0,USDA FoodData Central,"Cooked, boiled, drained without salt"
GL_ASN_001,Vegetable Fried Rice,"fried rice,veg fried rice,chinese fried rice",Rice Dishes,163.0,3.5,27.5,4.5,1.5,200.0,USDA FoodData Central,Wok-fried rice with diced vegetables and soy sauce
GL_MID_001,Hummus Dip,"hummus,hommus,chickpea dip",Condiments,166.0,7.9,14.3,9.6,6.0,50.0,USDA FoodData Central,"Pureed chickpeas, tahini, olive oil, lemon juice and garlic"
